Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
37_CGTACG_L002_R1_combined - illumina_universal_adapter	(1, 8.560966720668701e-05)	(2, 0.00013045282621971355)	(3, 0.00018752593769083822)	(4, 0.0004402782884915332)	(5, 0.0005258879556982202)	(6, 0.0007134138933890585)	(7, 0.0008112535130538436)	(8, 0.000933553037634825)	(9, 0.0010599292130351724)	(10, 0.001275991706461573)	(12, 0.0015389356843106832)	(14, 0.0017896497097016951)	(16, 0.002028133782634609)	(18, 0.0022666178555675225)	(20, 0.0024826803489939233)	(22, 0.002684474564552543)	(24, 0.0028271573432303546)	(26, 0.0030085683046921436)	(28, 0.0031594043850086875)	(30, 0.003444769942364311)	(32, 0.0038646649767590134)	(34, 0.004561772266870608)	(36, 0.005462712097950505)	(38, 0.006736665479002394)	(40, 0.008475357053462014)	(42, 0.01124951793604061)	(44, 0.014808434101347169)	(46, 0.019555693980498935)	(48, 0.02582965959150328)	(50, 0.03385454672942535)	(52, 0.04468824628189062)	(54, 0.05855701236937392)	(56, 0.07561168107219178)	(58, 0.0970670943345153)	(60, 0.12502884230454703)	(62, 0.16206521499848758)	(64, 0.20991082733997718)	(66, 0.27091994517719975)	(68, 0.3461402677707324)	(70, 0.4392142826276787)	(72, 0.5572292471975064)	(74, 0.7097347160245806)	(76, 0.897073127777728)	(78, 1.1247866892458767)	(80, 1.4013426041808499)	(82, 1.7392643438997406)	(84, 2.1526897334441095)	(86, 2.6539486032171298)	(88, 3.2389418808199286)	(90, 3.732495880544347)
37_CGTACG_L002_R1_combined - polya	(1, 0.0018589527736309179)	(2, 0.006999609456851505)	(3, 0.00984103507794964)	(4, 0.018369388592063413)	(5, 0.02225036017209989)	(6, 0.026041645434110316)	(7, 0.030366971953457694)	(8, 0.03705267929721801)	(9, 0.0501061152208281)	(10, 0.06431528165172845)	(12, 0.07227290405113099)	(14, 0.08186934007991867)	(16, 0.08865696369416312)	(18, 0.0940034912437617)	(20, 0.09979437373267118)	(22, 0.10595215479532359)	(24, 0.11234434328008955)	(26, 0.1212722085745012)	(28, 0.13154536863930363)	(30, 0.13978427994524245)	(32, 0.14687969069634904)	(34, 0.15474558845231584)	(36, 0.16209782820504248)	(38, 0.16788463404313259)	(40, 0.17376112619924877)	(42, 0.17973953462584907)	(44, 0.1854855739557455)	(46, 0.19128460974629372)	(48, 0.19678197337620884)	(50, 0.20164337947830285)	(52, 0.20641713758778046)	(54, 0.21188188801114066)	(56, 0.2175688159041563)	(58, 0.22295610996194853)	(60, 0.22722640169523448)	(62, 0.23181263386702128)	(64, 0.2365211655633891)	(66, 0.24298061878667457)	(68, 0.24786240814286542)	(70, 0.252996949849857)	(72, 0.2583312474469974)	(74, 0.2630275491909071)	(76, 0.2682313939618278)	(78, 0.27413234602286024)	(80, 0.2792301978724775)	(82, 0.28344749314511164)	(84, 0.28787473593494317)	(86, 0.29313973046815445)	(88, 0.29817235590466185)	(90, 0.3021572820805921)
37_CGTACG_L002_R2_combined - illumina_universal_adapter	(1, 4.8919809832392576e-05)	(2, 6.522641310985678e-05)	(3, 9.783961966478515e-05)	(4, 0.00024867569998132894)	(5, 0.00029351885899435545)	(6, 0.000423971685214069)	(7, 0.0004891980983239258)	(8, 0.0005829610671693449)	(9, 0.0006889539884728621)	(10, 0.0008724032753443344)	(12, 0.001090504094180418)	(14, 0.0013024899367874523)	(16, 0.0015144757793944868)	(18, 0.0017549981777370837)	(20, 0.0019527157424763372)	(22, 0.0021402416801671754)	(24, 0.002280886133435304)	(26, 0.0024602587694874103)	(28, 0.002625363127671735)	(30, 0.002892383756340211)	(32, 0.0032817039095896687)	(34, 0.003944159667736652)	(36, 0.00483286954635845)	(38, 0.006057903117577947)	(40, 0.0077558281838439064)	(42, 0.010466800978722329)	(44, 0.013942145802231885)	(46, 0.01857118280762203)	(48, 0.02468412071126142)	(50, 0.03252555856231201)	(52, 0.04309019916069913)	(54, 0.05675513270721412)	(56, 0.07343474953465032)	(58, 0.09441727130192736)	(60, 0.12186536126871897)	(62, 0.15821481829959633)	(64, 0.20502699965837667)	(66, 0.26470712932848595)	(68, 0.33798900445741)	(70, 0.42901450227762483)	(72, 0.5445345565460005)	(74, 0.6941517182675538)	(76, 0.8782084261111116)	(78, 1.1020675142295495)	(80, 1.3744774752812277)	(82, 1.7080107003930707)	(84, 2.1158245800845825)	(86, 2.6106341882613657)	(88, 3.1885300167876482)	(90, 3.6760954164584176)
37_CGTACG_L002_R2_combined - polya	(1, 0.011133333387688677)	(2, 0.017643744746216255)	(3, 0.020000048919809832)	(4, 0.02434575869325404)	(5, 0.026526766881614875)	(6, 0.02860585879949156)	(7, 0.030595264399342192)	(8, 0.035707384526827216)	(9, 0.04135354591164919)	(10, 0.05134134041909601)	(12, 0.05678774591376905)	(14, 0.06291495209527623)	(16, 0.07120889818727644)	(18, 0.07889542330719113)	(20, 0.0883124866999267)	(22, 0.09696110141321178)	(24, 0.10388121617908563)	(26, 0.11099701018428906)	(28, 0.11783559193377563)	(30, 0.12423797204559)	(32, 0.13029791348857764)	(34, 0.13756046692327825)	(36, 0.14438681872030668)	(38, 0.14994533211251232)	(40, 0.1564170152882559)	(42, 0.16314348914020987)	(44, 0.16960701901431474)	(46, 0.17666573990804707)	(48, 0.18328010586246846)	(50, 0.1910440873479511)	(52, 0.1979377038834991)	(54, 0.20569557039275269)	(56, 0.2125137688881424)	(58, 0.22042247147771254)	(60, 0.22792758563616544)	(62, 0.2336838165931103)	(64, 0.23993332229919845)	(66, 0.24772380201500696)	(68, 0.25470302821776164)	(70, 0.2634290992966147)	(72, 0.2707201892870509)	(74, 0.2777116454422636)	(76, 0.2850964984015452)	(78, 0.29243854652722345)	(80, 0.2981030528407326)	(82, 0.3028706959739812)	(84, 0.3092200796251438)	(86, 0.31678022856965815)	(88, 0.32334363638883745)	(90, 0.3284516798655031)
41_GTCCGC_L001_R1_combined - illumina_universal_adapter	(1, 7.035350393207932e-05)	(2, 0.0001143244438896289)	(3, 0.00016269247784293341)	(4, 0.0003517675196603966)	(5, 0.0004441064935712507)	(6, 0.0006551670053674887)	(7, 0.0007650943552613626)	(8, 0.000826653671201932)	(9, 0.000932183927100051)	(10, 0.0010794865759578421)	(12, 0.0012619659767816728)	(14, 0.001468629394582156)	(16, 0.001703873923355046)	(18, 0.0018973460591682643)	(20, 0.0021237963999496444)	(22, 0.002255709219822293)	(24, 0.0023898205866928193)	(26, 0.0025239319535633456)	(28, 0.002726198277368074)	(30, 0.002998818105104881)	(32, 0.003458314427661274)	(34, 0.004280571004867451)	(36, 0.005316086640867744)	(38, 0.006780318941454144)	(40, 0.00863369406066486)	(42, 0.011412657465981992)	(44, 0.015150187362373706)	(46, 0.0196703999900098)	(48, 0.02568122748220683)	(50, 0.03373010804143628)	(52, 0.04443483337410172)	(54, 0.05785256570214797)	(56, 0.0741921669903734)	(58, 0.09433525458492686)	(60, 0.12011541668203818)	(62, 0.15475792172759362)	(64, 0.20016671142175507)	(66, 0.2559636356808876)	(68, 0.32501999688421923)	(70, 0.4106797850155215)	(72, 0.5178259729570804)	(74, 0.6558243709198541)	(76, 0.8272384847033674)	(78, 1.0364610112093797)	(80, 1.2905053153611203)	(82, 1.5970970913091305)	(84, 1.975299940072006)	(86, 2.4366364464656227)	(88, 2.9766105818793207)	(90, 3.429104532247474)
41_GTCCGC_L001_R1_combined - polya	(1, 0.001877559136187367)	(2, 0.0068154956934201845)	(3, 0.009422972432902873)	(4, 0.017790642306824558)	(5, 0.021405053571335132)	(6, 0.025028259023837218)	(7, 0.029174718661834142)	(8, 0.035357032819865616)	(9, 0.04674990336286671)	(10, 0.06055677850953728)	(12, 0.06812197872923367)	(14, 0.07743062671824692)	(16, 0.08370747839718712)	(18, 0.08878832050928198)	(20, 0.09391533210833225)	(22, 0.09980084242165027)	(24, 0.10581826555484093)	(26, 0.11412217756582417)	(28, 0.12378918871549144)	(30, 0.13129063107224942)	(32, 0.1380731485607014)	(34, 0.14558338510545088)	(36, 0.15241866772185197)	(38, 0.1580271611134374)	(40, 0.16374558185491672)	(42, 0.16934528105851068)	(44, 0.17485044274119588)	(46, 0.1806875850205606)	(48, 0.185937715251492)	(50, 0.1908294823217694)	(52, 0.19564869734111684)	(54, 0.20074932637619258)	(56, 0.20631824592181625)	(58, 0.21151780957179647)	(60, 0.21587093262759388)	(62, 0.22024604115337004)	(64, 0.22481462181495948)	(66, 0.23277995758826958)	(68, 0.23743208303577834)	(70, 0.2422073271151682)	(72, 0.247486038457072)	(74, 0.2518523527948567)	(76, 0.2568694370440131)	(78, 0.26273076334035445)	(80, 0.26744005100980806)	(82, 0.2713490675720342)	(84, 0.2756032560129271)	(86, 0.28109082931962925)	(88, 0.2859342283559534)	(90, 0.2903269252577126)
41_GTCCGC_L001_R2_combined - illumina_universal_adapter	(1, 3.9573845961794616e-05)	(2, 5.276512794905949e-05)	(3, 9.673606790660906e-05)	(4, 0.00020226632380472806)	(5, 0.0002506343577580326)	(6, 0.00036935589564341645)	(7, 0.0004529006815627606)	(8, 0.0004924745275245552)	(9, 0.0005804164074396544)	(10, 0.0006903437573335283)	(12, 0.0008222565772061771)	(14, 0.0010025374310321303)	(16, 0.0012245906778177557)	(18, 0.001404871531643709)	(20, 0.001620329137435702)	(22, 0.0017456463163147181)	(24, 0.0018797576831852444)	(26, 0.002016067597053648)	(28, 0.0022139368268626215)	(30, 0.0024821595606036736)	(32, 0.0029350602421664342)	(34, 0.0037573168193726116)	(36, 0.004784038267381394)	(38, 0.006221888003993264)	(40, 0.008081858764197612)	(42, 0.010847630887527479)	(44, 0.014506013091995605)	(46, 0.018975659138680517)	(48, 0.02491393457994759)	(50, 0.03295402095118553)	(52, 0.04363016517287857)	(54, 0.05693577160403307)	(56, 0.07315445280737523)	(58, 0.09316342903505817)	(60, 0.11882926668827984)	(62, 0.15326071122203905)	(64, 0.19846723459239574)	(66, 0.25404210560474266)	(68, 0.3226587574084988)	(70, 0.4079403954561662)	(72, 0.5147787868180222)	(74, 0.6519769136735685)	(76, 0.822384092932054)	(78, 1.0298609731217516)	(80, 1.2822387786491012)	(82, 1.5869617896489152)	(84, 1.9634189920954759)	(86, 2.42225135345851)	(88, 2.9589870291443345)	(90, 3.4087152073891582)
41_GTCCGC_L001_R2_combined - polya	(1, 0.011472018234924684)	(2, 0.017869789998748147)	(3, 0.020129896312566196)	(4, 0.024804007230053715)	(5, 0.02709489320184205)	(6, 0.029319822763694058)	(7, 0.031623900017469654)	(8, 0.036575027856689736)	(9, 0.042594649536878276)	(10, 0.053119094015717766)	(12, 0.059176090994870215)	(14, 0.0657387537835345)	(16, 0.07464946476593191)	(18, 0.08251586592433753)	(20, 0.0918618892123147)	(22, 0.10068905540879278)	(24, 0.10817071084256982)	(26, 0.11528740747469923)	(28, 0.12186985718634441)	(30, 0.12879747877665634)	(32, 0.13525680985642036)	(34, 0.14263953067529295)	(36, 0.14966168978651362)	(38, 0.15543507420293987)	(40, 0.16208567887151926)	(42, 0.1688462108899925)	(44, 0.1756111400024615)	(46, 0.1825717397977416)	(48, 0.1892091531843337)	(50, 0.19685350109595368)	(52, 0.20376133576328473)	(54, 0.21186957709145687)	(56, 0.21880379432276242)	(58, 0.22843782726746156)	(60, 0.23624706620392236)	(62, 0.24252611642986044)	(64, 0.2490206242615905)	(66, 0.25659022157528266)	(68, 0.2637113153014078)	(70, 0.2719690578254357)	(72, 0.2792792265933782)	(74, 0.2860375600648536)	(76, 0.29335652302078774)	(78, 0.3009920767444162)	(80, 0.30680063791280854)	(82, 0.31196722335782057)	(84, 0.3186310193083872)	(86, 0.3265018175607886)	(88, 0.33300731812750806)	(90, 0.3384619132292421)
45_CGTACG_L001_R1_combined - illumina_universal_adapter	(1, 5.903997043953023e-05)	(2, 8.434281491361462e-05)	(3, 0.00013494850386178337)	(4, 0.00030785127443469333)	(5, 0.00037532552636558505)	(6, 0.000565096859921218)	(7, 0.0006789596600545976)	(8, 0.0007801710379509352)	(9, 0.0008518624306275076)	(10, 0.0010542851864201825)	(12, 0.0012672507940770595)	(14, 0.0014991935350894998)	(16, 0.0017564391205760243)	(18, 0.00196307901711438)	(20, 0.002125438935823088)	(22, 0.0023426216842256462)	(24, 0.0024670273362232273)	(26, 0.002601975840085011)	(28, 0.002736924343946794)	(30, 0.0029667585145863942)	(32, 0.0032746097890210876)	(34, 0.0037427124117916486)	(36, 0.004333112116186951)	(38, 0.005128043146747768)	(40, 0.006178111192422271)	(42, 0.007704716142358695)	(44, 0.009621406611270587)	(46, 0.012187536755017311)	(48, 0.015398889432853188)	(50, 0.019951292867815537)	(52, 0.026066146949052595)	(54, 0.033985937269441005)	(56, 0.043679035273388164)	(58, 0.0554807036501757)	(60, 0.0707404274384214)	(62, 0.09023626910570343)	(64, 0.11586383341720524)	(66, 0.14839063998864072)	(68, 0.1893390766292006)	(70, 0.24020622830360155)	(72, 0.3052324300316256)	(74, 0.3886053025737336)	(76, 0.4937618156376555)	(78, 0.6220978428102115)	(80, 0.7796670896318263)	(82, 0.9716882677752798)	(84, 1.2127400327983904)	(86, 1.5110858719923195)	(88, 1.8664116083715137)	(90, 2.1706129474908202)
45_CGTACG_L001_R1_combined - polya	(1, 0.0018724104910822444)	(2, 0.006388968229706307)	(3, 0.009028898336502444)	(4, 0.017092071442244002)	(5, 0.020803155298443045)	(6, 0.024480502028676642)	(7, 0.02878620273001667)	(8, 0.035225776648671145)	(9, 0.04774646752259723)	(10, 0.06104732943447426)	(12, 0.06898398831784538)	(14, 0.07810144661000713)	(16, 0.08435968347659734)	(18, 0.08965852082354517)	(20, 0.09497422673347575)	(22, 0.10092461232563124)	(24, 0.10706687782171523)	(26, 0.11577738203191879)	(28, 0.12579519987328336)	(30, 0.1340607957348176)	(32, 0.1413416892322354)	(34, 0.14943649089356953)	(36, 0.15655291590190576)	(38, 0.16213851881955987)	(40, 0.1677536417224338)	(42, 0.1738980157888906)	(44, 0.17972821286979423)	(46, 0.1852695358096187)	(48, 0.19092683011994938)	(50, 0.19597474759252922)	(52, 0.20071270522030155)	(54, 0.20592719975233575)	(56, 0.2114136998624664)	(58, 0.21666614866121175)	(60, 0.2211257749997691)	(62, 0.2256592013013759)	(64, 0.23052999886263714)	(66, 0.23614512176551103)	(68, 0.2409020565266389)	(70, 0.2456990541248507)	(72, 0.2508840286716652)	(74, 0.25547860351408436)	(76, 0.2607437037350667)	(78, 0.26688386066077785)	(80, 0.2720287723705084)	(82, 0.27662967292404606)	(84, 0.2811926192108726)	(86, 0.28635018234284015)	(88, 0.29161317399344966)	(90, 0.2958577261539773)
45_CGTACG_L001_R2_combined - illumina_universal_adapter	(1, 1.6868562982722922e-05)	(2, 2.5302844474084383e-05)	(3, 6.325711118521096e-05)	(4, 0.00015603420759018703)	(5, 0.00020242275579267506)	(6, 0.00033737125965445846)	(7, 0.00041749693382239235)	(8, 0.0005018397487360069)	(9, 0.000548228296938495)	(10, 0.000721131067511405)	(12, 0.0008898166973386342)	(14, 0.0011091080161140321)	(16, 0.0013452678978721532)	(18, 0.0015434735129191473)	(20, 0.0016952905797636537)	(22, 0.0018998219059291692)	(24, 0.002026336128299591)	(26, 0.0021507417802971726)	(28, 0.002281473143413275)	(30, 0.002509198743680035)	(32, 0.002810724306996207)	(34, 0.00328936978163097)	(36, 0.003862900923043549)	(38, 0.0046472891017401655)	(40, 0.005680488584431945)	(42, 0.007183899260267124)	(44, 0.009090046877314815)	(46, 0.011649851309943018)	(48, 0.014831684002559131)	(50, 0.01934191603006467)	(52, 0.02543990154831901)	(54, 0.03332173760199629)	(56, 0.042960012776249605)	(58, 0.054683664049242034)	(60, 0.06982319932623586)	(62, 0.08925578388233266)	(64, 0.11471887970475292)	(66, 0.1471107377723266)	(68, 0.18789048878305928)	(70, 0.23845189775339837)	(72, 0.30308590539207414)	(74, 0.38604549814110545)	(76, 0.4907423428637481)	(78, 0.6187051530803114)	(80, 0.7755195317084493)	(82, 0.966627698880463)	(84, 1.206629395857899)	(86, 1.5038176299171386)	(88, 1.8572941500793518)	(90, 2.159926712841265)
45_CGTACG_L001_R2_combined - polya	(1, 0.009775332248487933)	(2, 0.015679329292440956)	(3, 0.01784272249497517)	(4, 0.021916480455302756)	(5, 0.024109393643056736)	(6, 0.025872158474751283)	(7, 0.027778306091798974)	(8, 0.0326322350900775)	(9, 0.03811451805946244)	(10, 0.04774014181147871)	(12, 0.05297572204724134)	(14, 0.05894086763200673)	(16, 0.06647478957416536)	(18, 0.07335505470074347)	(20, 0.08191585041447536)	(22, 0.08976394934218719)	(24, 0.09612761472741942)	(26, 0.10277593711298508)	(28, 0.1094010652244495)	(30, 0.11543579363151864)	(32, 0.12116477933452591)	(34, 0.12822005580204976)	(36, 0.13469125827629685)	(38, 0.13989310138609404)	(40, 0.14599952118583973)	(42, 0.15216287238565213)	(44, 0.158279835037262)	(46, 0.16491972314133632)	(48, 0.17127495424507722)	(50, 0.17812148224568985)	(52, 0.18470654752007032)	(54, 0.19213925808433263)	(56, 0.19858094057335993)	(58, 0.20544855427770098)	(60, 0.21202729384096294)	(62, 0.2176677195883109)	(64, 0.223544305217417)	(66, 0.23086737012229158)	(68, 0.23695059564793605)	(70, 0.24483032313124048)	(72, 0.25172534825042847)	(74, 0.25822607070989534)	(76, 0.2651463986735574)	(78, 0.2723176465115875)	(80, 0.27778727805873543)	(82, 0.28221105870095453)	(84, 0.2882647642413792)	(86, 0.2954950520498488)	(88, 0.30174063749420194)	(90, 0.30668734358888544)
5_ACAGTG_L001_R1_combined - illumina_universal_adapter	(1, 0.0001573603550921145)	(2, 0.00027437190118625093)	(3, 0.0005729530877712888)	(4, 0.0011257317710435884)	(5, 0.0013597548632318613)	(6, 0.0018681498566063852)	(7, 0.0020941031869950626)	(8, 0.0023644402072815155)	(9, 0.002626707465768373)	(10, 0.003094753650144919)	(12, 0.0037120904278139834)	(14, 0.004349601609982037)	(16, 0.004837822198857571)	(18, 0.005253414931536746)	(20, 0.0056528681406167285)	(22, 0.005941362124952273)	(24, 0.006175385217140545)	(26, 0.006447739677876898)	(28, 0.006685797650964968)	(30, 0.007071128776895658)	(32, 0.0075532970444214965)	(34, 0.008291680249084495)	(36, 0.009322592318982836)	(38, 0.010696469265363988)	(40, 0.012742153881561477)	(42, 0.01560893676086782)	(44, 0.019323044629131703)	(46, 0.024102361054942206)	(48, 0.02994083371694964)	(50, 0.03815181634803817)	(52, 0.04938694221352517)	(54, 0.06367445547970921)	(56, 0.08152880346131451)	(58, 0.10313760812018166)	(60, 0.13080276900964535)	(62, 0.16684434264708925)	(64, 0.21318696722171698)	(66, 0.270738490935983)	(68, 0.34065490716767943)	(70, 0.4281170029921466)	(72, 0.5393465647568728)	(74, 0.6801538209575668)	(76, 0.8539764901208564)	(78, 1.0625737803190534)	(80, 1.31527837107339)	(82, 1.6235795857460409)	(84, 2.00055447333325)	(86, 2.4599720649055783)	(88, 2.989408962172548)	(90, 3.4383116541200027)
5_ACAGTG_L001_R1_combined - polya	(1, 0.003615253286218836)	(2, 0.013230374470437012)	(3, 0.018588696305368503)	(4, 0.03524064977883406)	(5, 0.04151892445891944)	(6, 0.04817647794358583)	(7, 0.05562486808461258)	(8, 0.06719690650523269)	(9, 0.09011099513518445)	(10, 0.11345076370006488)	(12, 0.12758696893250648)	(14, 0.1415194126795083)	(16, 0.15198185885268403)	(18, 0.16144970688405957)	(20, 0.17148243824140685)	(22, 0.18251783750235384)	(24, 0.19390225396113336)	(26, 0.20984810327713432)	(28, 0.2285941599375949)	(30, 0.24422125366251182)	(32, 0.25674754141593414)	(34, 0.27044596207074767)	(36, 0.28283304643312696)	(38, 0.29259544077018773)	(40, 0.3033141018805007)	(42, 0.3142264372740038)	(44, 0.3245738893415353)	(46, 0.335195713310253)	(48, 0.3445626893191336)	(50, 0.3533103111098953)	(52, 0.3619046074264646)	(54, 0.371055717307206)	(56, 0.3808887220600133)	(58, 0.39022140158124563)	(60, 0.39841220980783515)	(62, 0.4069641398749566)	(64, 0.4196558577452706)	(66, 0.4278264915673612)	(68, 0.43667095049971794)	(70, 0.4451502527106431)	(72, 0.4533793923057807)	(74, 0.4610839973839446)	(76, 0.46935550322853015)	(78, 0.4786700257857134)	(80, 0.48655216562346837)	(82, 0.49349821309247033)	(84, 0.5003897896693249)	(86, 0.5086976094420086)	(88, 0.5162771332122789)	(90, 0.5228923204474973)
5_ACAGTG_L001_R2_combined - illumina_universal_adapter	(1, 0.00010894178429454082)	(2, 0.00016139523599191231)	(3, 0.00037927880458099393)	(4, 0.0007383832046629989)	(5, 0.0008594296316569331)	(6, 0.001113627128344195)	(7, 0.0012427433171377249)	(8, 0.0014485222430274131)	(9, 0.0016744755734160904)	(10, 0.002011388128549207)	(12, 0.0024955738365249444)	(14, 0.0030523874006970417)	(16, 0.0034740324547259125)	(18, 0.0038755031042557947)	(20, 0.004256799349286688)	(22, 0.004529153810023039)	(24, 0.004755107140411717)	(26, 0.005009304637098979)	(28, 0.005243327729287251)	(30, 0.005610501891168853)	(32, 0.006106792241843982)	(34, 0.00684719288695688)	(36, 0.007872052635505524)	(38, 0.009247947022336576)	(40, 0.011251265389086187)	(42, 0.014116030827942633)	(44, 0.017811981732157423)	(46, 0.022563053991669343)	(48, 0.028373282487378186)	(50, 0.03648137565552188)	(52, 0.047674135271561)	(54, 0.06192129972874706)	(56, 0.07970301985415601)	(58, 0.10120288272872863)	(60, 0.12876111927434764)	(62, 0.16470383832974653)	(64, 0.21090322463243144)	(66, 0.26840632977589984)	(68, 0.3382581879131995)	(70, 0.42544187695558067)	(72, 0.5362618983089773)	(74, 0.6766313699320433)	(76, 0.8502563299312429)	(78, 1.0580648009135292)	(80, 1.3100996014384996)	(82, 1.6175292818367941)	(84, 1.9936185130664976)	(86, 2.451516971980052)	(88, 2.9794811377185955)	(90, 3.427066441052266)
5_ACAGTG_L001_R2_combined - polya	(1, 0.014989582542748858)	(2, 0.024100343614492307)	(3, 0.027521922617520848)	(4, 0.03413509241228946)	(5, 0.03711283451634024)	(6, 0.039783925672006386)	(7, 0.0427092143243598)	(8, 0.050335139224977656)	(9, 0.05839279638187388)	(10, 0.07321291392683123)	(12, 0.08126451876237775)	(14, 0.09038940191727049)	(16, 0.10282490485044735)	(18, 0.11422142595192625)	(20, 0.12821842779332485)	(22, 0.14110583738727905)	(24, 0.15144320225256103)	(26, 0.16257745609555307)	(28, 0.17370364017674556)	(30, 0.18384531331838733)	(32, 0.19339184152730893)	(34, 0.2048569556040844)	(36, 0.21543843076380417)	(38, 0.22395001202192763)	(40, 0.23367810987134016)	(42, 0.2437209284309369)	(44, 0.25406636305801844)	(46, 0.26536604701790223)	(48, 0.2756025398606893)	(50, 0.2871644910790599)	(52, 0.2984318959917453)	(54, 0.3107443350574783)	(56, 0.32130967069359884)	(58, 0.3352199225956518)	(60, 0.3469452864904642)	(62, 0.35682670981406905)	(64, 0.36674242962532216)	(66, 0.37918600232029864)	(68, 0.39021333181944606)	(70, 0.40337713075503634)	(72, 0.414820052986863)	(74, 0.4263113937894871)	(76, 0.43785115316290885)	(78, 0.4488744477811565)	(80, 0.4579912611742496)	(82, 0.46566762208611495)	(84, 0.4751112608320917)	(86, 0.4864876075290716)	(88, 0.4963165774009791)	(90, 0.5039041709330488)
9_GATCAG_L001_R1_combined - illumina_universal_adapter	(1, 0.0001452112751447719)	(2, 0.00026037883819062543)	(3, 0.00039056825728593815)	(4, 0.000841223938769713)	(5, 0.001001457069963944)	(6, 0.001321923332352406)	(7, 0.0015272220316950146)	(8, 0.0017575571577867217)	(9, 0.0019378194303802318)	(10, 0.002238256551369415)	(12, 0.0026538612354044516)	(14, 0.003152086127711514)	(16, 0.0036953765881669537)	(18, 0.004050893848004154)	(20, 0.004316279971544599)	(22, 0.004566644239035585)	(24, 0.004862074074674948)	(26, 0.005129963840890303)	(28, 0.00537281718035656)	(30, 0.005673254301345743)	(32, 0.00610137719875533)	(34, 0.006674711371309687)	(36, 0.00751843895275431)	(38, 0.008730202007410683)	(40, 0.010342547890052633)	(42, 0.012638388222944974)	(44, 0.015540110083165502)	(46, 0.019095282681537505)	(48, 0.023932320329463352)	(50, 0.030349156505257324)	(52, 0.038596155476410404)	(54, 0.049579635891239954)	(56, 0.06265866522496907)	(58, 0.0783590084393288)	(60, 0.09882879094939181)	(62, 0.12526976123911485)	(64, 0.1602206129808565)	(66, 0.20268990367535245)	(68, 0.2550210428663183)	(70, 0.3200556649897769)	(72, 0.40325421471970646)	(74, 0.5106880255427635)	(76, 0.6437766628556219)	(78, 0.8049136090554954)	(80, 0.9997896439424541)	(82, 1.240880418965574)	(84, 1.5434030743029572)	(86, 1.913203615600518)	(88, 2.3454575234237054)	(90, 2.7096423942014436)
9_GATCAG_L001_R1_combined - polya	(1, 0.003495085174174165)	(2, 0.012613351796195875)	(3, 0.01758057886321704)	(4, 0.03253734020312854)	(5, 0.03903679658719454)	(6, 0.04559133311010855)	(7, 0.05333259626092984)	(8, 0.06448882802032818)	(9, 0.0838670223241305)	(10, 0.10805221056375974)	(12, 0.12166952307259446)	(14, 0.138736855187455)	(16, 0.14984802137870495)	(18, 0.15897129528607648)	(20, 0.16842505002653613)	(22, 0.1785572919318963)	(24, 0.18918525508688866)	(26, 0.2033633835549032)	(28, 0.21884340621387088)	(30, 0.23148429807949075)	(32, 0.24288839046370517)	(34, 0.2559423833706852)	(36, 0.26778962050835864)	(38, 0.2774762140175849)	(40, 0.28739314265290283)	(42, 0.29790343460217444)	(44, 0.3080582092916089)	(46, 0.31819045119696904)	(48, 0.3278620228501458)	(50, 0.33671740699130204)	(52, 0.3455051927802356)	(54, 0.35472610875192867)	(56, 0.3646755847420204)	(58, 0.37441475474741975)	(60, 0.3819657410549479)	(62, 0.3899198138331365)	(64, 0.41160887032588067)	(66, 0.4194077172582249)	(68, 0.4278149493605722)	(70, 0.43622718874826927)	(72, 0.44533794444226626)	(74, 0.452818828754897)	(76, 0.4612561045693432)	(78, 0.47101530371614175)	(80, 0.4791421278388992)	(82, 0.4862699985343676)	(84, 0.49342040201391013)	(86, 0.5015497297793424)	(88, 0.509729130398273)	(90, 0.517032256080985)
9_GATCAG_L001_R2_combined - illumina_universal_adapter	(1, 8.512385094693525e-05)	(2, 0.0001452112751447719)	(3, 0.00023033512609170714)	(4, 0.0005057358203317917)	(5, 0.0006058815273281862)	(6, 0.0008011656559711553)	(7, 0.0009413696457661074)	(8, 0.0010965954916105187)	(9, 0.001231792196055651)	(10, 0.001469638250172088)	(12, 0.0018101336539598288)	(14, 0.0022808184768428824)	(16, 0.002769028798450305)	(18, 0.003117035130262776)	(20, 0.0033699030404286713)	(22, 0.0036227709505945675)	(24, 0.0039031789301844718)	(26, 0.004158550483025278)	(28, 0.004388885609116985)	(30, 0.004679308159406528)	(32, 0.005107431056816115)	(34, 0.005690779800070113)	(36, 0.006524492810815095)	(38, 0.007723737652096919)	(40, 0.00932356532136432)	(42, 0.011611894726231932)	(44, 0.01451361658645246)	(46, 0.01805877461412482)	(48, 0.02293837418752414)	(50, 0.029392765003441755)	(52, 0.037594698406446456)	(54, 0.04853311325312763)	(56, 0.06151199687986035)	(58, 0.0770370851069764)	(60, 0.09742424740876739)	(62, 0.12370248092462127)	(64, 0.1584730703937694)	(66, 0.20076209881567186)	(68, 0.25284037009647187)	(70, 0.3174218328957717)	(72, 0.400267369008539)	(74, 0.5068449340367768)	(76, 0.6388645159274486)	(78, 0.7994431498108172)	(80, 0.9934153696921336)	(82, 1.2333344399433956)	(84, 1.5343173550357092)	(86, 1.902235157041738)	(88, 2.331677474141001)	(90, 2.6937242340743666)
